code;description
Z95;Implants et de greffes cardiaques et vasculaires
Z950;Présence de dispositifs électroniques cardiaques
Z951;Présence d'un pontage aorto-coronaire
Z952;Présence de prothèse d'une valvule cardiaque
Z953;Présence d'une valvule cardiaque xénogénique
Z954;Présence d'une autre valvule cardiaque de remplacement
Z955;Présence d'implant et de greffe vasculaires coronaires
Z958;Présence d'autres implants et greffes cardiaques et vasculaires
Z9580;Présence d'une endoprothèse vasculaire périphérique
Z9588;Présence d'autres implants et greffes cardiaques et vasculaires NCA
Z959;Présence d'implant et de greffe cardiaques et vasculaires, sans précision
