code;description
Z94;Greffe d'organe et de tissu
Z940;Greffe de rein
Z941;Greffe du coeur
Z942;Greffe de poumon
Z943;Greffe de coeur et poumon
Z944;Greffe de foie
Z945;Greffe de peau
Z946;Greffe d'os
Z947;Greffe de cornée
Z948;Autres greffes d'organes et de tissus
Z9480;Greffe de moelle osseuse
Z94800;Autogreffe de cellules souches hématopoïétiques
Z94801;*** SU12 *** Présence d'allogreffe de cellules souches hématopoïétiques
Z94802;Allogreffe de cellules souches hématopoïétiques, greffon de moelle osseuse, de cellules souches périphériques ou d'unité de sang placentaire de donneur apparenté
Z94803;Allogreffe de cellules souches hématopoïétiques, greffon de moelle osseuse ou de cellules souches périphériques de donneur non apparenté
Z94804;Allogreffe de cellules souches hématopoïétiques, greffon d'unité de sang placentaire de donneur non apparenté
Z94809;Allogreffe de cellules souches hématopoïétiques, autres et sans précision
Z9481;Greffe de pancréas
Z9482;Greffe d'intestin
Z9488;Greffe d'organes et de tissus, autres
Z949;Greffe d'organe et de tissu, sans précision
