"code","inclusion_notes","exclusion_notes"
"A000","Choléra classique",""
"A001","Choléra El Tor",""
"A010","Infection due à Salmonella typhi",""
"A014","Infection due à Salmonella paratyphi SAI",""
"A02","infection ou intoxication alimentaire due à toute espèce de Salmonella, sauf S. typhi et S. paratyphi",""
"A022","Arthrite [M01.3]   à Salmonella
Maladie rénale tubulo-interstitielle [N16.0]   à Salmonella
Méningite [G01]   à Salmonella
Ostéomyélite [M90.2]   à Salmonella
Pneumopathie [J17.0]   à Salmonella",""
"A030","Infection à Shigella du groupe A [Shiga–Kruse]",""
"A031","Infection à Shigella du groupe B",""
"A032","Infection à Shigella du groupe C",""
"A033","Infection à Shigella du groupe D",""
"A039","Dysenterie bacillaire SAI",""
"A04","","entérite tuberculeuse [A18.3]
intoxications d'origine alimentaire classées ailleurs"
"A044","Entérite à Escherichia coli SAI",""
"A046","","yersiniose extra-intestinale [A28.2]"
"A047","Intoxication d’origine alimentaire à Clostridium difficile
Colite pseudomembraneuse",""
"A049","Entérite bactérienne SAI","entérite tuberculeuse [A18.3]
intoxications d'origine alimentaire classées ailleurs"
"A05","","effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]"
"A051","Intoxication alimentaire classique à Clostridium botulinum",""
"A052","Entérite aigüe nécrosante
Pig-bel",""
"A059","","effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]"
"A06","infection à Entamoeba histolytica","autres maladies intestinales à protozoaires [A07.-]"
"A060","Amibiase :
 - aigüe
 - intestinale SAI",""
"A063","Amœbome SAI",""
"A064","Amibiase hépatique",""
"A065","Abcès amibien du poumon (et du foie) [J99.8]
Abcès amibien du poumon (et du foie) avec pneumopathie  [J17.3]",""
"A066","Abcès amibien du cerveau (et du foie) (et du poumon)",""
"A068","Appendicite  amibienne
Balanite [N51.2]   amibienne",""
"A069","","autres maladies intestinales à protozoaires [A07.-]"
"A070","Dysenterie balantidienne",""
"A073","Coccidiose intestinale
Infection due à Isospora belli et Isospora hominis
Isosporose",""
"A078","Microsporidiose intestinale
Sarcocystose
Sarcosporidiose
Trichomonase intestinale",""
"A079","Colite  à protozoaires
Diarrhée  à protozoaires
Dysenterie  à protozoaires
Diarrhée à flagellés",""
"A08","","grippe avec atteinte gastro-intestinale [J09]  [J10.8]  [J11.8]"
"A081","Entérite à agent de Norwalk
Entérite à norovirus
Entérite à petit virus rond structuré",""
"A084","Entérite  virale SAI
Gastroentérite  virale SAI
Gastroentéropathie  virale SAI",""
"A09","","diarrhée non infectieuse  [K52.9]  - du nouveau-né [P78.3] 
maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés [A00-A08]"
"A090","Catarrhe intestinal
Colite  infectieuse  hémorragique
Colite  infectieuse  SAI
Colite  ou septique  hémorragique
Colite  ou septique  SAI
Entérite  infectieuse  hémorragique
Entérite  infectieuse  SAI
Entérite  ou septique  hémorragique
Entérite  ou septique  SAI
Gastroentérite  infectieuse  hémorragique
Gastroentérite  infectieuse  SAI
Gastroentérite  ou septique  hémorragique
Gastroentérite  ou septique  SAI
Diarrhée :
 - aigüe :
  - aqueuse
  - hémorragique
  - sanglante
 - dysentérique
 - épidémique
 - infectieuse (du nouveau-né) SAI",""
"A099","Diarrhée du nouveau-né SAI","colite non infectieuse indéterminée [K52.3]|diarrhée non infectieuse  [K52.9]  - du nouveau-né [P78.3] 
maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés [A00-A08]"
"A15-A19","infections à Mycobacterium tuberculosis et Mycobacterium bovis","immunodéficience humaine virale [VIH] à l'origine de tuberculose [B20.0]
pneumoconiose associée à une tuberculose [J65]
séquelles de tuberculose [B90.-]
silicotuberculose [J65]
tuberculose congénitale [P37.0]"
"A150","Bronchectasie tuberculeuse  confirmé(e) bactériologiquement, avec ou sans culture
Fibrose pulmonaire tuberculeuse  confirmé(e) bactériologiquement, avec ou sans culture
Pneumopathie tuberculeuse  confirmé(e) bactériologiquement, avec ou sans culture
Pneumothorax tuberculeux  confirmé(e) bactériologiquement, avec ou sans culture
Tuberculose pulmonaire, confirmée bactériologiquement","confirmée par la culture seulement [A15.1]"
"A151","Toute maladie classée en A15.0, confirmée par culture seulement",""
"A152","Toute maladie classée en A15.0, avec confirmation histologique",""
"A153","Toute maladie classée en A15.0 avec confirmation, non précisée comme bactériologique ou histologique",""
"A154","Tuberculose ganglionnaire :
• hilaire avec confirmation bactériologique et histologique 
• médiastinale avec confirmation bactériologique et histologique 
• trachéobronchique avec confirmation bactériologique et histologique","précisée comme primo-infection [A15.7]"
"A155","Tuberculose de :
• bronches avec confirmation bactériologique et histologique 
• glotte avec confirmation bactériologique et histologique 
• larynx avec confirmation bactériologique et histologique 
• trachée avec confirmation bactériologique et histologique",""
"A156","Empyème tuberculeux  avec confirmation bactériologique et histologique
Tuberculose de la plèvre  avec confirmation bactériologique et histologique","au cours d'une primo-infection tuberculeuse de l'appareil respiratoire, avec confirmation bactériologique et histologique [A15.7]"
