code;description
O0400;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], incomplet, compliqué d'une infection de l'appareil génital et des organes pelviens
O0410;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], incomplet, compliqué d'une hémorragie retardée ou sévère
O0420;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], incomplet, compliqué d'une embolie
O0430;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], incomplet, avec complications autres et non précisées
O0440;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], incomplet, sans complication
O0450;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], complet ou sans précision, compliqué d'une infection de l'appareil génital et des organes pelviens
O0460;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], complet ou sans précision, compliqué d'une hémorragie retardée ou sévère
O0470;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], complet ou sans précision, compliqué d'une embolie
O0480;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], complet ou sans précision, avec complications autres et non précisées
O0490;Interruption médicale volontaire de grossesse [IVG dans le cadre légal], complet ou sans précision, sans complication
