code;description
Z85;Antécédents personnels de tumeur maligne
Z850;Antécédents personnels de tumeur maligne des organes digestifs
Z8500;Antécédents personnels de tumeur maligne du tube digestif
Z8501;Antécédents personnels de tumeur maligne du système hépatobiliaire et du pancréas
Z8502;Antécédents personnels de tumeur maligne de la rate
Z8509;Antécédents personnels de tumeur maligne des organes digestifs, sans précision
Z851;Antécédents personnels de tumeur maligne de la trachée, des bronches et des poumons
Z852;Antécédents personnels de tumeur maligne d'autres organes respiratoires et intrathoraciques
Z8520;Antécédents personnels de tumeur maligne des voies aériennes supérieures et de l'oreille moyenne
Z8521;Antécédents personnels de tumeur maligne du coeur
Z8528;Antécédents personnels de tumeur maligne d'autres organes intrathoraciques précisés
Z8529;Antécédents personnels de tumeur maligne des autres organes respiratoires et intrathoraciques, sans précision
Z853;Antécédents personnels de tumeur maligne du sein
Z854;Antécédents personnels de tumeur maligne des organes génitaux
Z855;Antécédents personnels de tumeur maligne des voies urinaires
Z856;Antécédents personnels de leucémie
Z857;Antécédents personnels d'autres tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés
Z858;Antécédents personnels de tumeurs malignes d'autres organes et systèmes
Z85800;Antécédents personnels de tumeur maligne du système nerveux
Z85801;Antécédents personnels de tumeur maligne de l'oeil
Z85802;Antécédents personnels de tumeur maligne de la gorge et de la bouche
Z85803;Antécédents personnels de tumeur maligne de l'appareil musculosquelettique et du tissu conjonctif
Z85804;Antécédents personnels de tumeur maligne de la peau et des tissus souscutanés
Z85805;Antécédents personnels de tumeur maligne des glandes endocrines
Z85880;Antécédents personnels de tumeur maligne d'autres localisations
Z859;Antécédents personnels de tumeur maligne, sans précision
Z86;Antécédents personnels de certaines autres maladies
Z860;Antécédents personnels d'autres tumeurs
Z86000;Antécédents personnels de tumeur non maligne du système nerveux
Z86001;Antécédents personnels de tumeur non maligne du tube digestif
Z86002;Antécédents personnels de tumeur non maligne de l'appareil musculosquelettique et du tissu conjonctif
Z86003;Antécédents personnels de tumeur non maligne du sein
Z86004;Antécédents personnels de tumeur non maligne de la peau
Z86005;Antécédents personnels de tumeur non maligne de la vessie
Z86080;Antécédents personnels de tumeur non maligne d'autres localisations
Z86090;Antécédents personnels de tumeur non maligne sans précision
Z861;Antécédents personnels de maladies infectieuses et parasitaires
Z862;Antécédents personnels de maladies du sang et des organes hématopoïétiques et de certains troubles du système immunitaire
