diag;nb;categ;nb_categ;ponderation
W1171;1;W11;8307;0,0
A009;31;A00;274;11,3
W3341;1;W33;127;0,8
Z431;18495;Z43;74483;24,8
A218;20;A21;102;19,6
R34;63999;R34;63999;100,0
T16;861;T16;861;100,0
E1170;67781;E11;1664933;4,1
Q068;1009;Q06;1766;57,1
J989;276;J98;124854;0,2
E619;55;E61;103689;0,1
T518;263;T51;4574;5,7
O009;5609;O00;17924;31,3
F02812;112;F02;26783;0,4
P3680;1013;P36;12770;7,9
D071;735;D07;2576;28,5
M8662;89;M86;61785;0,1
L081;32;L08;40907;0,1
Y2930;1;Y29;64;1,6
X208;55;X20;326;16,9
Z883;448;Z88;115468;0,4
E752;7409;E75;23572;31,4
Q388;30;Q38;11648;0,3
N481;3325;N48;18742;17,7
A320;2;A32;1200;0,2
C221;46482;C22;153827;30,2
A151;641;A15;6382;10,0
X3189;1;X31;235;0,4
Y0544;1;Y05;1008;0,1
C162;7567;C16;117010;6,5
C689;1801;C68;4632;38,9
W9150;1;W91;16;6,2
L599;242;L59;2828;8,6
G578;626;G57;11917;5,3
Y328;2;Y32;13;15,4
Y859;1000;Y85;2166;46,2
Q675;453;Q67;6142;7,4
Y509;3;Y50;150;2,0
W1308;255;W13;4677;5,5
X4000;1;X40;1238;0,1
D233;4240;D23;17870;23,7
O411;4604;O41;31416;14,7
O801;3056;O80;331147;0,9
Z905;35041;Z90;211850;16,5
M064;1107;M06;82822;1,3
V1600;1;V16;29;3,4
G911;7533;G91;30379;24,8
I773;808;I77;51426;1,6
C740;2414;C74;11081;21,8
K099;122;K09;5089;2,4
I059;580;I05;8288;7,0
W2681;6;W26;7450;0,1
H701;238;H70;3577;6,7
X834;21;X83;1019;2,1
R4701;15350;R47;228760;6,7
E148;790;E14;20919;3,8
Q901;1051;Q90;13185;8,0
E729;54;E72;6144;0,9
M7900;1663;M79;143002;1,2
N46;2147;N46;2147;100,0
D374;30328;D37;63427;47,8
Q972;9;Q97;132;6,8
B206;689;B20;3551;19,4
T982;34;T98;1663;2,0
V9611;1;V96;300;0,3
P60;419;P60;419;100,0
F3211;2369;F32;240419;1,0
W751;5;W75;14;35,7
I829;1388;I82;41299;3,4
N640;11;N64;16675;0,1
M172;163;M17;202228;0,1
X47804;1;X47;1900;0,1
N136;24018;N13;124623;19,3
A000;235;A00;274;85,8
A802;1;A80;46;2,2
C518;2657;C51;11313;23,5
A210;6;A21;102;5,9
W6989;9;W69;291;3,1
I5002;83647;I50;815712;10,3
C967;532;C96;3732;14,3
Q060;2;Q06;1766;0,1
X810;13;X81;130;10,0
R844;7;R84;494;1,4
T519;318;T51;4574;7,0
O002;226;O00;17924;1,3
E268;404;E26;4523;8,9
W2868;1;W28;482;0,2
D072;241;D07;2576;9,4
M8648;248;M86;61785;0,4
I320;172;I32;1921;9,0
Y298;7;Y29;64;10,9
O294;63;O29;140;45,0
I850;4302;I85;21234;20,3
R195;42734;R19;69601;61,4
Q384;41;Q38;11648;0,4
N484;2509;N48;18742;13,4
T380;223;T38;3570;6,2
C224;258;C22;153827;0,2
X279;3;X27;10;30,0
X3108;2;X31;235;0,9
Y0504;2;Y05;1008;0,2
C169+0;73;C16;117010;0,1
J662;66;J66;171;38,6
N910;621;N91;5034;12,3
D430;3752;D43;8259;45,4
W467;1;W46;26;3,8
I020;15;I02;31;48,4
N938;11586;N93;13763;84,2
Q677;406;Q67;6142;6,6
O922;1358;O92;125641;1,1
W1382;58;W13;4677;1,2
X4004;16;X40;1238;1,3
V530;2;V53;54;3,7
O419;98;O41;31416;0,3
J182;986;J18;363887;0,3
Z903;40060;Z90;211850;18,9
M0643;107;M06;82822;0,1
L905;16054;L90;20525;78,2
S135;11;S13;4438;0,2
I776;2528;I77;51426;4,9
L671;2;L67;155;1,3
X0199;7;X01;139;5,0
I051;2933;I05;8288;35,4
W26002;15;W26;7450;0,2
X1901;1;X19;576;0,2
X830;267;X83;1019;26,2
J386;2399;J38;25598;9,4
V2203;2;V22;345;0,6
Q902;834;Q90;13185;6,3
E722;2554;E72;6144;41,6
M7931;4;M79;143002;0,0
S2600;1510;S26;5408;27,9
D372;1356;D37;63427;2,1
Y624;6;Y62;1142;0,5
W1419;1;W14;1243;0,1
C180;48263;C18;448583;10,8
V9681;23;V96;300;7,7
Z769;76;Z76;66004;0,1
N140;97;N14;11054;0,9
J689;23;J68;592;3,9
I822;6211;I82;41299;15,0
N642;7025;N64;16675;42,1
U0714;40720;U07;201384;20,2
X47099;17;X47;1900;0,9
X8404;4;X84;2488;0,2
R5210;210073;R52;547033;38,4
M888;228;M88;1787;12,8
Z436;10309;Z43;74483;13,8
A212;42;A21;102;41,2
W6998;3;W69;291;1,0
I5009;139505;I50;815712;17,1
I7021;60591;I70;369883;16,4
Q069;387;Q06;1766;21,9
X8188;4;X81;130;3,1
T189;583;T18;13178;4,4
T512;64;T51;4574;1,4
O008;3275;O00;17924;18,3
E260;3158;E26;4523;69,8
G701;199;G70;21328;0,9
P38;215;P38;215;100,0
M8618;1257;M86;61785;2,0
I321;169;I32;1921;8,8
Y297;1;Y29;64;1,6
X2021;1;X20;326;0,3
Z886;5439;Z88;115468;4,7
R196;724;R19;69601;1,0
Q380;605;Q38;11648;5,2
N489;67;N48;18742;0,4
X894;1;X89;22;4,5
C223;262;C22;153827;0,2
R011;6832;R01;9703;70,4
N946;2052;N94;11782;17,4
Y0514;2;Y05;1008;0,2
D419;18;D41;17600;0,1
Y560;589;Y56;720;81,8
N911;3797;N91;5034;75,4
O241;7267;O24;173104;4,2
X52;27;X52;27;100,0
Y3248;1;Y32;13;7,7
N118;1849;N11;21331;8,7
Q676;1386;Q67;6142;22,6
R391;3280;R39;258167;1,3
W1361;1;W13;4677;0,0
X4014;1;X40;1238;0,1
E281;1365;E28;10869;12,6
O410;19776;O41;31416;62,9
J188;75740;J18;363887;20,8
Z901;21506;Z90;211850;10,2
M0693;222;M06;82822;0,3
V162;1;V16;29;3,4
M673;380;M67;14137;2,7
I774;674;I77;51426;1,3
C749;6879;C74;11081;62,1
X0149;2;X01;139;1,4
I050;2835;I05;8288;34,2
W26929;1;W26;7450;0,0
V512;1;V51;2;50,0
X8389;7;X83;1019;0,7
J384;6498;J38;25598;25,4
V2298;1;V22;345;0,3
Q909;9998;Q90;13185;75,8
X9930;1;X99;3054;0,0
M7982;12;M79;143002;0,0
S2691;25;S26;5408;0,5
D379;85;D37;63427;0,1
Y629;51;Y62;1142;4,5
W1422;1;W14;1243;0,1
X033;1;X03;109;0,9
C549;11739;C54;118086;9,9
Z76850;8789;Z76;66004;13,3
O211;4561;O21;15868;28,7
V4259;10;V42;104;9,6
I820;1254;I82;41299;3,0
F059;7437;F05;122377;6,1
U0715;1704;U07;201384;0,8
X4799;13;X47;1900;0,7
W1168;8;W11;8307;0,1
R529;16262;R52;547033;3,0
W3398;4;W33;127;3,1
Z432;13302;Z43;74483;17,9
V746;3;V74;6;50,0
W6911;2;W69;291;0,7
F508;10254;F50;62007;16,5
I7020;271632;I70;369883;73,4
Q062;135;Q06;1766;7,6
X811;3;X81;130;2,3
R845;310;R84;494;62,8
